<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
02/01/17,14:52:00,60829.0000000,60843.0000000,60790.0000000,60800.0000000,14438
02/01/17,14:53:00,60801.0000000,60806.0000000,60763.0000000,60773.0000000,13576
02/01/17,14:54:00,60773.0000000,60810.0000000,60763.0000000,60797.0000000,9316
02/01/17,14:55:00,60799.0000000,60799.0000000,60762.0000000,60769.0000000,13003
02/01/17,14:56:00,60771.0000000,60777.0000000,60727.0000000,60739.0000000,14112
02/01/17,14:57:00,60739.0000000,60766.0000000,60734.0000000,60765.0000000,8029
02/01/17,14:58:00,60766.0000000,60787.0000000,60756.0000000,60772.0000000,8184
02/01/17,14:59:00,60771.0000000,60779.0000000,60755.0000000,60766.0000000,8635
02/01/17,15:00:00,60766.0000000,60773.0000000,60743.0000000,60749.0000000,22435
02/01/17,15:01:00,60750.0000000,60773.0000000,60748.0000000,60767.0000000,7112
02/01/17,15:02:00,60767.0000000,60786.0000000,60747.0000000,60783.0000000,11497
02/01/17,15:03:00,60783.0000000,60783.0000000,60737.0000000,60759.0000000,12867
02/01/17,15:04:00,60758.0000000,60779.0000000,60754.0000000,60772.0000000,10903
02/01/17,15:05:00,60773.0000000,60801.0000000,60766.0000000,60791.0000000,5507
02/01/17,15:06:00,60788.0000000,60797.0000000,60778.0000000,60789.0000000,3090
02/01/17,15:07:00,60786.0000000,60789.0000000,60770.0000000,60774.0000000,2938
02/01/17,15:08:00,60773.0000000,60780.0000000,60772.0000000,60780.0000000,1199
02/01/17,15:09:00,60777.0000000,60781.0000000,60770.0000000,60781.0000000,1621
02/01/17,15:10:00,60779.0000000,60798.0000000,60774.0000000,60777.0000000,2872
02/01/17,15:11:00,60776.0000000,60782.0000000,60766.0000000,60780.0000000,3727
02/01/17,15:12:00,60780.0000000,60788.0000000,60777.0000000,60782.0000000,1151
02/01/17,15:13:00,60782.0000000,60784.0000000,60775.0000000,60776.0000000,491
02/01/17,15:14:00,60776.0000000,60793.0000000,60766.0000000,60776.0000000,7632
02/01/17,15:15:00,60777.0000000,60792.0000000,60756.0000000,60758.0000000,4402
02/01/17,15:16:00,60760.0000000,60760.0000000,60705.0000000,60746.0000000,13542
02/01/17,15:17:00,60744.0000000,60753.0000000,60730.0000000,60747.0000000,2720
02/01/17,15:18:00,60750.0000000,60775.0000000,60750.0000000,60771.0000000,2864
02/01/17,15:19:00,60771.0000000,60776.0000000,60738.0000000,60739.0000000,2338
02/01/17,15:20:00,60740.0000000,60758.0000000,60736.0000000,60755.0000000,2308
02/01/17,15:21:00,60753.0000000,60760.0000000,60752.0000000,60760.0000000,520
02/01/17,15:22:00,60757.0000000,60759.0000000,60740.0000000,60744.0000000,1063
02/01/17,15:23:00,60744.0000000,60762.0000000,60742.0000000,60760.0000000,659
02/01/17,15:24:00,60761.0000000,60763.0000000,60748.0000000,60756.0000000,654
02/01/17,15:25:00,60754.0000000,60756.0000000,60742.0000000,60746.0000000,908
02/01/17,15:26:00,60745.0000000,60745.0000000,60731.0000000,60738.0000000,1183
